colonia,year,annual_production,annual_production_per_acre,mirrored_production,mirrored_per_acre,colonia_code,annual_employ,annual_planted,employ_per_acre,avg_empoly_wage,mirrored_employ_per_acre
0,2018,5102.47,0.985470383,5102.47,0.985470383,0,41934,5177.7,8.09896286,2814.345948,8.09896286
0,2019,4075.3,0.828195175,4075.3,0.828195175,0,40915,4920.7,8.3148739,2771.363168,8.3148739
0,2020,3337.91,0.681706968,3337.91,0.681706968,0,37715,4896.4,7.702597827,2883.631499,7.702597827
0,2021,5673.6,1.230555676,5673.6,1.230555676,0,34825,4610.6,7.553246866,3031.401034,7.553246866
0,2022,2169.52,0.391518236,2169.52,0.391518236,0,31526,5541.3,5.689278689,3232.199613,5.689278689
1,2018,374.7,1.319366197,-374.7,-1.319366197,1,11951,284,42.08098592,2503.24659,-42.08098592
1,2019,531.2,1.837426496,-531.2,-1.837426496,1,11290,289.1,39.05223106,2667.695837,-39.05223106
1,2020,329.24,1.29877712,-329.24,-1.29877712,1,10007,253.5,39.47534517,2546.289597,-39.47534517
1,2021,422.82,1.638202247,-422.82,-1.638202247,1,9605,258.1,37.21425804,2591.160125,-37.21425804
1,2022,326.8,1.171746146,-326.8,-1.171746146,1,9117,278.9,32.68913589,2764.170012,-32.68913589
